sku,图片,价格,商品标题,评论数,评论链接,店铺名,店铺链接,地区
100066896464,//img14.360buyimg.com/n7/jfs/t1/233798/32/22893/36943/66aa3657F9a4aadf1/9e3c0ba559fc8ae7.jpg.avif,5199.00,Apple/苹果 iPhone 15 (A3092) 128GB 蓝色 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100066896464.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
100066896370,//img10.360buyimg.com/n7/jfs/t1/233798/32/22893/36943/66aa3657F9a4aadf1/9e3c0ba559fc8ae7.jpg.avif,6199.00,Apple/苹果 iPhone 15 (A3092) 256GB 蓝色 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100066896370.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
100068860525,//img10.360buyimg.com/n7/jfs/t1/61589/21/25371/39875/66a883aeF1658b085/99992e0882983066.jpg.avif,8549.00,Apple iPhone 15 Pro Max 256GB 蓝色钛金属A3108手机 支持移动联通电信5G MU2R3CH/A【企业客户专享】,,//item.jd.com/100068860525.html#comment,Apple产品企业业务京东自营旗舰店,//mall.jd.com/index-1000435626.html?from=pc,福建
100068388579,//img14.360buyimg.com/n7/jfs/t1/90140/34/41740/56642/66aa3b80Fb3e3ae84/1d9c3f86fdbc6b63.jpg.avif,8549.00,Apple/苹果 iPhone 15 Pro Max (A3108) 256GB 白色钛金属 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100068388579.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
100066896356,//img11.360buyimg.com/n7/jfs/t1/74205/32/27010/34531/66aa3658Fbe02f329/b5be32311db826a3.jpg.avif,5199.00,Apple/苹果 iPhone 15 (A3092) 128GB 黑色 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100066896356.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
10095012502199,//img14.360buyimg.com/n7/jfs/t1/224118/15/23005/53962/668d34f5F0bb435fc/cce30f5b85a7d83f.jpg.avif,5089.00,Apple苹果15 iPhone 15支持移动联通电信5G手机 apple手机苹果权益机 黑色 128G 未激活全网通,,//item.jd.com/10095012502199.html#comment,京诚电脑办公买手店,//mall.jd.com/index-13065441.html?from=pc,福建
10045630106994,//img14.360buyimg.com/n7/jfs/t1/248293/18/11937/49716/66723182F0315c291/4cfa2234afba2920.jpg.avif,4609.00,Apple 苹果 iPhone 15 二手手机 蓝色 128G,,//item.jd.com/10045630106994.html#comment,爱回收严选官方旗舰店,//mall.jd.com/index-10180819.html?from=pc,福建
100068388451,//img11.360buyimg.com/n7/jfs/t1/82073/39/26231/54118/66aa3b7eF7bcd633f/b56a1594e90098f8.jpg.avif,8549.00,Apple/苹果 iPhone 15 Pro Max (A3108) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100068388451.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
10107179311918,//img13.360buyimg.com/n7/jfs/t1/26726/11/21196/362723/66a8bcb7Fb6c13506/88371473cb5ef06e.png.avif,5016.00,Apple【至快次日达】iPhone15苹果15双卡双待apple5G全网资源游戏手机 iPhone15 黑色6.1英寸 128GB【公开版全网通+2年店保,,//item.jd.com/10107179311918.html#comment,京旺数码小店,//mall.jd.com/index-16066198.html?from=pc,福建
100066896338,//img13.360buyimg.com/n7/jfs/t1/74205/32/27010/34531/66aa3658Fbe02f329/b5be32311db826a3.jpg.avif,6199.00,Apple/苹果 iPhone 15 (A3092) 256GB 黑色 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100066896338.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
10080147963420,//img10.360buyimg.com/n7/jfs/t1/247240/18/15776/353551/669cf8c9F6385c79b/2b194ac5a3ef7b23.png.avif,5487.00,Apple【分期免息】iphone15 苹果15plus全网通 5G 双卡双待 资源手机 iPhone 15 黑色 128GB 【公开版+720天只换不修】,,//item.jd.com/10080147963420.html#comment,天影通讯买手店,//mall.jd.com/index-12490455.html?from=pc,福建
100066896214,//img14.360buyimg.com/n7/jfs/t1/23858/39/21586/37230/66aa3659Fe386df90/8ffa4aae2a7393d1.jpg.avif,5199.00,Apple/苹果 iPhone 15 (A3092) 128GB 粉色 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100066896214.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
10080143350008,//img13.360buyimg.com/n7/jfs/t1/149594/17/44138/67264/669cf8c3F64bc55d6/7d60b6c2695f8dcb.png.avif,5487.00,Apple【分期免息】iphone15 苹果15plus全网通 5G 双卡双待 资源手机 iPhone 15 粉色 128GB 【公开版+720天只换不修】,,//item.jd.com/10080143350008.html#comment,天影通讯买手店,//mall.jd.com/index-12490455.html?from=pc,福建
10100035823890,//img10.360buyimg.com/n7/jfs/t1/237359/4/22826/79199/668e5073F9e38f82b/b1c1681fe41fdd7b.jpg.avif,6068.00," 京东国际
AppleiPhone15  苹果15  双卡双待全网通 5G手机apple 支持移动电信联通  苹果权益手机 黑色 128GB【未激活+买家秀赏金】",,//item.jd.com/10100035823890.html#comment,NEW LIFE海外专营店,//mall.jd.com/index-13337986.html?from=pc,福建
10106496279192,//img12.360buyimg.com/n7/jfs/t1/74711/31/25162/62902/66a8bf5aFc75db5c6/109acb78bc081a42.png.avif,5018.00,Apple【至快次日达】iPhone15 苹果15 双卡双待 5G全网通游戏资源手机 iPhone15 粉色6.1英寸 128GB【公开版全网通+2年店保,,//item.jd.com/10106496279192.html#comment,百川小店,//mall.jd.com/index-16109505.html?from=pc,福建
100068388535,//img10.360buyimg.com/n7/jfs/t1/23858/39/21586/37230/66aa3659Fe386df90/8ffa4aae2a7393d1.jpg.avif,6199.00,Apple/苹果 iPhone 15 (A3092) 256GB 粉色 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100068388535.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
10098096881849,//img14.360buyimg.com/n7/jfs/t1/231917/37/23795/319520/669b887eFe189edff/c1a63d793c854fa6.png.avif,6087.00," 京东国际
Apple【0首付24期免息】苹果15 iPhone15  双卡双待 灵动岛游戏ASIS资源手机 iPhone15 粉色 128GB 全原机未使用+店保2年",,//item.jd.com/10098096881849.html#comment,京品滙手机海外专营店,//mall.jd.com/index-13710103.html?from=pc,福建
100066896220,//img10.360buyimg.com/n7/jfs/t1/237016/6/24053/53284/66aa39d9Fba286ece/80476caac5e77301.jpg.avif,6979.00,Apple/苹果 iPhone 15 Pro (A3104) 128GB 原色钛金属 支持移动联通电信5G 双卡双待手机,,//item.jd.com/100066896220.html#comment,Apple产品京东自营旗舰店,//mall.jd.com/index-1000000127.html?from=pc,福建
10096798600966,//img11.360buyimg.com/n7/jfs/t1/191299/6/47450/102487/666bfd7eFbb72c3ae/81cb6dc256bf766a.jpg.avif,5249.00,Apple 苹果15 iPhone15 (A3092) iphone15 苹果手机 手机Apple 粉色 128GB 官方标配,,//item.jd.com/10096798600966.html#comment,星世界手机旗舰店,//mall.jd.com/index-14093692.html?from=pc,福建
